available_liquidity,sp_score,market_cap,total_debt,ltm_capex,ltm_ebitda,ltm_fcf,ltm_revenue
4653.999872,3,93516.26752,13165,-196,5877.999872,1812,12535
4614,2,51444.72781,9040,-1105,3744,1758,14516
4537.999872,6,67104.78029,5171,-2572,5189.000064,2151,123285
4512.458596,6,41175.53971,9157.088,-21.899,3352.051968,-620.592,6491.132
4483,5,23575.4537,6931,-902,2526,959,62950
4479.000064,3,12841.60512,3214,-242,-1616,208,6803
4434.020096,3,95870.50086,7138.256,-237.192,3232.150912,3723.796,11014.291
4369.299968,5,31694.15373,6225.2,-1053.2,2680.4,852.3,8760
4357.999872,4,33767.28883,2782,-658,1685,1518,10263
4254.000128,1,101766.0703,13642,-1006,5162,4245,16257
4193,3,21429.02682,11783,-4196,3206,-903,9037
4168,6,60684.02586,3888,-389,4738.999936,1865,31070
4150,3,25234.0777,12463,-3650,4239.999872,-368,11891
4125,2,39883.18618,18563,-1993,3156,1752,7810
4044.999936,5,29367.43117,12749,-1748,7160.000128,4744,69317
4035.808,2,33197.44717,1952.54,-228.506,2024.401984,1391.689,12559.257
4024.25,1,19349.40365,11839,-1237,1805,-330,22739
4003.229952,1,23271.49773,3159.336,-748.639,1293.339024,1389.875,9058.339
3979.000064,3,40133.09542,8960,-638,2935,2065,9157
3923.900032,5,59000.22579,12269,-561.2,4209.700032,2476.7,17432.2
3906,1,38041.98093,5484,-429,1362,541,8582
3804.432896,4,20298.38541,4205.402,-547.304,2195.987008,1368.991,149758.95
3771.000064,3,14523.64083,2791,-47,1455,992,4036
3760,5,38809.96864,6364,-375,2766,1788,4509
3753.553952,3,18158.03904,10611.685,-1016.871,1250.892032,8.436,2514.013
3742.953755,2,14223.75834,4470,-663,1985,766,20888
3717.000064,7,64029.8967,6533,-574,4300.999936,2552,15176
3713.000064,4,64211.8615,15699,-1161,7414.000128,4531,66643
3704,4,11903.24531,8592,-1394,2075,219,8279
3669.49504,6,44900.68378,2403.831,-1017.026,4530.976064,2613.034,33425.412
3663.899904,5,85090.35315,3602.2,-1895.7,5368.400128,2432.9,21976.1
3580.674944,1,8936.32512,2952.143,-525.111,1080.04,624.798,23862.934
3546.566016,3,53033.65222,6986.358,-2956.167,2960.518016,9.354,8726.268
3519,5,38325.88698,9515,-1469,3403,1461,10753
3498,2,45784.9897,4887,-130,2650,2127,6878
3494,5,45737.27949,9819,-4853,3230.000064,-1507,10924
3487,2,13746.07462,7247,-1632,1794,4,4072
3463,2,29613.55571,10478,-155,2600,1839,9314
3444,3,11858.62861,1993,-175,891,811,5519
3435.999872,5,48618.0905,5335,-497,3890.000064,1988,24306
3412,3,41154.82624,16353,-1127,2014,-1274,27000
3378,5,22381.33658,3827.4,-346.8,2026.5,1085.9,11540.4
3332.999936,5,54345.43309,6914,-514,2795,1246,11785
3322.499968,2,23766.55258,4070.2,-177.8,1921.7,1291,13615.4
3247.999936,3,19768.68045,1904,-151,961,650,4324
3242.899968,3,22783.6416,3010.7,-198.5,1489,922.7,6395.3
3240,2,68663.93498,0,-684,2343,2487,11273
3213.299968,2,70791.24173,16627.9,-422.7,4360.099968,2806,18744.3
3182.162241,5,11080.05376,2138.992,-5.049,1433.000016,690.851,2735.91
3176.999936,5,20541.63866,5436,-97,2753,1259,11872
3175,4,33520.01126,21969.4,-5030.1,3481.6,-503.9,16268.5
3171,1,14265.80685,11913,-213,2363,1279,12913
3157.758976,4,19053.7769,4357.1,-566.733,2428.415968,667.696,18236.722
3131,2,20647.9401,14077,-3426,5240,1103,117018
3129.6,3,23931.62957,2941.6,-103.7,907.3,545.9,3834.9
3118,4,24673.5872,5539,-474,3003,627,128394
3098,2,23251.43347,7767,-493,1840,1341,12873
3073,6,81698.55386,3609,-534,6019.000064,4130,13764
3072,6,27860.36531,1856,-541,2437,1510,17807
3064.999936,2,33741.70522,990,-123,1396,1260,4845
3062.4,3,59343.42554,23697.7,-2463.9,5268.900096,1578.8,25337.4
3045,1,7476.978688,6316,-148,1503,971,13785
3034,4,25434.35981,19249,-2975,4045,-507,7457
3029,1,14484.97562,4396,-287,1457,1008,6126
3025.999872,1,11716.78413,4130,-476,1733,1466,11019
3020.553,3,24149.16608,11127.326,-1927.237,1868.381984,-496.94,3474.676
3011.331008,2,6325.148672,1493.998,-89.255,898.151984,460.838,3036.314
3003.000064,3,46232.10906,7070,-838,3743,1596,24819
2988.924324,3,34588.86861,8981,-2137,6001.999872,2782,30870
2973.299968,2,8963.254272,2786.1,-114.4,728.6,801.1,5427.6
